year,bloom,full_bloom,bloom_trend,full_bloom_trend,,,,
1953,2023-03-26,2023-04-05,2023-04-01,2023-04-09,,,,
1954,2023-03-26,2023-04-01,2023-03-31,2023-04-08,,,,
1955,2023-03-24,2023-04-05,2023-03-31,2023-04-08,,,,
1956,2023-03-26,2023-04-08,2023-03-31,2023-04-08,,,,
1957,2023-04-02,2023-04-10,2023-03-31,2023-04-08,,,,
1958,2023-03-30,2023-04-06,2023-03-31,2023-04-08,,,,
1959,2023-03-24,2023-04-05,2023-03-31,2023-04-08,,,,
1960,2023-03-23,2023-04-01,2023-03-30,2023-04-07,,,,
1961,2023-04-01,2023-04-08,2023-03-30,2023-04-07,,,,
1962,2023-04-01,2023-04-09,2023-03-30,2023-04-07,,,,
1963,2023-04-01,2023-04-06,2023-03-30,2023-04-07,,,,
1964,2023-04-02,2023-04-05,2023-03-30,2023-04-07,,,,
1965,2023-04-02,2023-04-12,2023-03-30,2023-04-07,,,,
1966,2023-03-20,2023-04-05,2023-03-30,2023-04-06,,,,
1967,2023-03-30,2023-04-05,2023-03-29,2023-04-06,,,,
1968,2023-03-29,2023-04-03,2023-03-29,2023-04-06,,,,
1969,2023-04-06,2023-04-10,2023-03-29,2023-04-06,,,,
1970,2023-04-07,2023-04-15,2023-03-29,2023-04-06,,,,
1971,2023-03-30,2023-04-05,2023-03-29,2023-04-06,,,,
1972,2023-03-28,2023-04-01,2023-03-29,2023-04-05,,,,
1973,2023-03-31,2023-04-08,2023-03-29,2023-04-05,,,,
1974,2023-04-02,2023-04-09,2023-03-28,2023-04-05,,,,
1975,2023-03-29,2023-04-06,2023-03-28,2023-04-05,,,,
1976,2023-03-22,2023-03-31,2023-03-28,2023-04-05,,,,
1977,2023-03-22,2023-03-31,2023-03-28,2023-04-05,,,,
1978,2023-03-31,2023-04-09,2023-03-28,2023-04-04,,,,
1979,2023-03-23,2023-04-04,2023-03-28,2023-04-04,,,,
1980,2023-03-31,2023-04-08,2023-03-27,2023-04-04,,,,
1981,2023-03-26,2023-04-08,2023-03-27,2023-04-04,,,,
1982,2023-03-23,2023-03-31,2023-03-27,2023-04-04,,,,
1983,2023-03-31,2023-04-08,2023-03-27,2023-04-04,,,,
1984,2023-04-11,2023-04-17,2023-03-27,2023-04-03,,,,
1985,2023-04-03,2023-04-10,2023-03-27,2023-04-03,,,,
1986,2023-04-03,2023-04-10,2023-03-27,2023-04-03,,,,
1987,2023-03-23,2023-04-05,2023-03-26,2023-04-03,,,,
1988,2023-04-02,2023-04-11,2023-03-26,2023-04-03,,,,
1989,2023-03-20,2023-04-03,2023-03-26,2023-04-03,,,,
1990,2023-03-20,2023-03-26,2023-03-26,2023-04-02,,,,
1991,2023-03-30,2023-04-08,2023-03-26,2023-04-02,,,,
1992,2023-03-24,2023-04-01,2023-03-26,2023-04-02,,,,
1993,2023-03-24,2023-04-02,2023-03-26,2023-04-02,,,,
1994,2023-03-31,2023-04-05,2023-03-25,2023-04-02,,,,
1995,2023-03-31,2023-04-07,2023-03-25,2023-04-02,,,,
1996,2023-03-31,2023-04-07,2023-03-25,2023-04-01,,,,
1997,2023-03-21,2023-03-30,2023-03-25,2023-04-01,,,,
1998,2023-03-27,2023-03-31,2023-03-25,2023-04-01,,,,
1999,2023-03-24,2023-04-02,2023-03-25,2023-04-01,,,,
2000,2023-03-30,2023-04-06,2023-03-25,2023-04-01,,,,
2001,2023-03-23,2023-03-28,2023-03-24,2023-04-01,,,,
2002,2023-03-16,2023-03-21,2023-03-24,2023-03-31,,,,
2003,2023-03-27,2023-04-01,2023-03-24,2023-03-31,,,,
2004,2023-03-18,2023-03-29,2023-03-24,2023-03-31,,,,
2005,2023-03-31,2023-04-06,2023-03-24,2023-03-31,,,,
2006,2023-03-21,2023-03-28,2023-03-24,2023-03-31,,,,
2007,2023-03-20,2023-03-29,2023-03-23,2023-03-31,,,,
2008,2023-03-22,2023-03-27,2023-03-23,2023-03-30,,,,
2009,2023-03-21,2023-04-02,2023-03-23,2023-03-30,,,,
2010,2023-03-22,2023-04-01,2023-03-23,2023-03-30,,,,
2011,2023-03-28,2023-04-06,2023-03-23,2023-03-30,,,,
2012,2023-03-31,2023-04-06,2023-03-23,2023-03-30,,,,
2013,2023-03-16,2023-03-22,2023-03-23,2023-03-30,,,,
2014,2023-03-25,2023-03-30,2023-03-22,2023-03-29,,,,
2015,2023-03-23,2023-03-29,2023-03-22,2023-03-29,,,,
2016,2023-03-21,2023-03-31,2023-03-22,2023-03-29,,,,
2017,2023-03-21,2023-04-02,2023-03-22,2023-03-29,,,,
2018,2023-03-17,2023-03-24,2023-03-22,2023-03-29,,,,
2019,2023-03-21,2023-03-27,2023-03-22,2023-03-29,,,,
2020,2023-03-14,2023-03-22,2023-03-22,2023-03-28,,,,
2021,2023-03-14,2023-03-22,2023-03-21,2023-03-28,,,,
2022,2023-03-20,2023-03-27,2023-03-21,2023-03-28,,,,